time_hourly,generation_biomass,generation_fossil_brown_coal/lignite,generation_fossil_coal-derived_gas,generation_fossil_gas,generation_fossil_hard_coal,generation_fossil_oil,generation_fossil_oil_shale,generation_fossil_peat,generation_geothermal,generation_hydro_pumped_storage_consumption,generation_hydro_run-of-river_and_poundage,generation_hydro_water_reservoir,generation_marine,generation_nuclear,generation_other,generation_other_renewable,generation_solar,generation_waste,generation_wind_offshore,generation_wind_onshore,total_load_actual,price_actual
2015-01-02 01:00:00,368,0,0,2902,1190,192,0,0,0,1996,1263,2996,0,7106,45,61,54,167,0,12760,24935,58.46
2015-01-02 02:00:00,358,0,0,2772,1023,189,0,0,0,2698,1246,2581,0,7107,44,60,54,167,0,12174,23214,54.7
2015-01-02 03:00:00,353,0,0,2936,1016,188,0,0,0,3269,1248,2933,0,7107,44,59,53,181,0,11358,22540,54.91
2015-01-02 04:00:00,354,0,0,2893,1103,189,0,0,0,3267,1233,2646,0,7106,44,61,53,181,0,11199,22096,53.07
2015-01-02 05:00:00,354,0,0,2889,1120,190,0,0,0,3258,1225,2529,0,7105,44,59,63,171,0,11152,22066,54.23
2015-01-02 06:00:00,357,0,0,2898,1167,189,0,0,0,3256,1241,2658,0,7105,44,60,55,185,0,11169,22275,58.22
2015-01-02 07:00:00,357,0,0,2938,1067,194,0,0,0,2987,1247,2706,0,7105,44,60,54,186,0,11205,23025,67.55
2015-01-02 08:00:00,359,0,0,2869,1098,196,0,0,0,2447,1274,3090,0,7105,44,59,116,183,0,10920,23699,70.33
2015-01-02 09:00:00,357,0,0,3090,1293,193,0,0,0,1907,1297,3579,0,7107,44,59,1039,188,0,10491,25834,71.26
2015-01-02 10:00:00,377,0,0,2844,1339,200,0,0,0,938,1319,4289,0,7107,45,60,2373,185,0,10156,27927,75.86
2015-01-02 11:00:00,376,0,0,2699,1335,199,0,0,0,747,1333,4332,0,7106,44,59,3699,181,0,10421,29072,73.65
2015-01-02 12:00:00,376,0,0,2606,1336,197,0,0,0,864,1324,3619,0,7104,44,60,4154,177,0,11230,29071,74.19
2015-01-02 13:00:00,373,0,0,2662,1341,208,0,0,0,906,1281,3392,0,7105,44,61,4074,183,0,11920,29439,71.51
2015-01-02 14:00:00,383,0,0,2729,1354,195,0,0,0,1047,1281,3487,0,7105,44,58,3851,190,0,11819,29241,71.04
2015-01-02 15:00:00,391,0,0,2599,1298,195,0,0,0,1491,1284,2984,0,7105,44,57,3619,188,0,11961,27973,71.24
2015-01-02 16:00:00,395,0,0,2996,1184,195,0,0,0,1975,1283,3104,0,7106,44,59,3024,188,0,12025,27320,70.64
2015-01-02 17:00:00,394,0,0,3696,1047,195,0,0,0,1760,1295,3102,0,7105,44,59,2053,185,0,12077,27157,72.85
2015-01-02 18:00:00,410,0,0,4760,1178,199,0,0,0,595,1324,3886,0,7106,44,64,769,178,0,11276,29045,82.55
2015-01-02 19:00:00,435,0,0,6030,1345,205,0,0,0,78,1352,5553,0,7104,44,68,266,199,0,10510,31967,83.33
2015-01-02 20:00:00,435,0,0,5973,1354,214,0,0,0,68,1369,5604,0,7106,44,69,165,203,0,10406,33266,83.23
2015-01-02 21:00:00,437,0,0,6082,1348,215,0,0,0,68,1370,5902,0,7107,45,69,137,204,0,10445,33668,79.06
2015-01-02 22:00:00,437,0,0,5747,1429,217,0,0,0,68,1365,5347,0,7107,45,66,137,204,0,9976,32426,76.2
2015-01-02 23:00:00,443,0,0,4177,1432,220,0,0,0,68,1323,4969,0,7108,45,64,137,203,0,9527,29705,71.75
2015-01-03 00:00:00,478,0,0,3801,1798,246,0,0,0,502,1423,3719,0,7096,78,76,62,201,0,9264,25564,66.82
2015-01-03 01:00:00,463,0,0,3812,1351,245,0,0,0,1048,1392,3482,0,7095,78,68,62,198,0,9135,23584,63.35
2015-01-03 02:00:00,452,0,0,3745,1258,244,0,0,0,1880,1296,3060,0,7096,79,66,61,201,0,9362,22194,58.79
2015-01-03 03:00:00,454,0,0,3638,1196,244,0,0,0,2441,1245,2474,0,7098,79,68,61,208,0,9628,21296,57.44
2015-01-03 04:00:00,449,0,0,3515,1138,202,0,0,0,2767,1221,2266,0,7097,78,67,61,201,0,9607,21145,55.29
2015-01-03 05:00:00,453,0,0,3626,1180,189,0,0,0,2953,1212,2449,0,7098,79,66,61,188,0,9666,21316,56.22
2015-01-03 06:00:00,458,0,0,3556,1246,188,0,0,0,2744,1215,2620,0,7099,77,68,61,187,0,9743,21674,58.13
2015-01-03 07:00:00,452,0,0,3524,1175,190,0,0,0,2279,1295,2559,0,7098,77,67,63,186,0,9401,22127,62.06
2015-01-03 08:00:00,438,0,0,4000,1249,190,0,0,0,2152,1295,3335,0,7097,77,66,233,186,0,8363,22756,67.36
2015-01-03 09:00:00,433,0,0,4157,1415,226,0,0,0,1081,1380,4229,0,7097,76,68,820,197,0,7924,24654,69.21
2015-01-03 10:00:00,419,0,0,3960,1597,249,0,0,0,341,1421,4827,0,7097,76,68,1665,205,0,7592,26454,70.35
2015-01-03 11:00:00,431,0,0,3622,1569,250,0,0,0,325,1424,4429,0,7093,76,71,2488,202,0,7874,26959,68.77
2015-01-03 12:00:00,425,0,0,3138,1379,247,0,0,0,409,1417,4309,0,7094,76,64,3218,202,0,8192,26716,68.82
2015-01-03 13:00:00,427,0,0,3113,1193,249,0,0,0,1095,1390,3784,0,7095,76,64,3695,208,0,8718,26802,68.23
2015-01-03 14:00:00,421,0,0,3114,1155,248,0,0,0,1750,1285,3709,0,7093,77,64,3780,210,0,9152,26416,67.97
2015-01-03 15:00:00,410,0,0,2982,1137,206,0,0,0,2141,1277,3320,0,7092,76,62,3370,202,0,9382,25362,62.76
2015-01-03 16:00:00,397,0,0,2987,1205,190,0,0,0,2175,1279,3919,0,7092,76,61,2692,200,0,9307,24770,62.03
2015-01-03 17:00:00,393,0,0,3169,1289,190,0,0,0,1936,1302,4256,0,7095,77,59,1931,201,0,8892,24501,66.69
2015-01-03 18:00:00,418,0,0,3221,1399,218,0,0,0,1271,1478,4812,0,7094,78,62,1015,212,0,8568,24992,71.5
2015-01-03 19:00:00,458,0,0,3033,1539,243,0,0,0,129,1544,5753,0,7094,79,66,502,222,0,9005,27964,72.14
2015-01-03 20:00:00,462,0,0,3136,1555,244,0,0,0,0,1583,5946,0,7096,81,67,355,221,0,9672,29694,72.45
2015-01-03 21:00:00,462,0,0,3061,1507,245,0,0,0,0,1572,5985,0,7095,82,69,291,221,0,10081,29874,72.86
2015-01-03 22:00:00,463,0,0,3224,1441,247,0,0,0,117,1546,5519,0,7094,82,71,207,219,0,10537,28979,70.1
2015-01-03 23:00:00,456,0,0,3529,1291,248,0,0,0,587,1502,4505,0,7094,83,70,117,217,0,10953,26863,67.62
2015-01-04 00:00:00,391,0,0,3981,2559,323,0,0,0,1045,1502,1991,0,7086,81,58,692,162,0,8540,25254,55.22
2015-01-04 01:00:00,351,0,0,3997,2755,310,0,0,0,1257,1494,1867,0,7087,81,58,684,160,0,8080,23620,50.54
2015-01-04 02:00:00,350,0,0,3787,2678,306,0,0,0,1629,1484,1414,0,7086,81,57,648,161,0,7773,22606,48.68
2015-01-04 03:00:00,366,0,0,3724,2426,311,0,0,0,1962,1472,1355,0,7086,82,56,640,162,0,7601,22191,48.02
2015-01-04 04:00:00,377,0,0,3578,2046,310,0,0,0,2185,1438,1431,0,7087,82,56,563,161,0,7584,21929,47.06
2015-01-04 05:00:00,372,0,0,3676,2248,310,0,0,0,1795,1457,1534,0,7086,82,58,372,157,0,7812,22195,46.79
2015-01-04 06:00:00,377,0,0,3702,2148,320,0,0,0,1341,1352,2284,0,7085,82,54,179,155,0,7950,24035,47.63
2015-01-04 07:00:00,396,0,0,3569,2100,325,0,0,0,378,1433,3188,0,7086,82,56,129,156,0,8228,26807,47.44
2015-01-04 08:00:00,415,0,0,3314,2143,359,0,0,0,0,1561,3521,0,7080,83,53,357,156,0,8341,28316,50.84
2015-01-04 09:00:00,418,0,0,3183,2244,368,0,0,0,0,1573,4286,0,7080,84,54,1634,159,0,8569,29871,54.84
2015-01-04 10:00:00,402,0,0,3168,2209,370,0,0,0,17,1451,3921,0,7079,85,55,3830,162,0,8433,30585,59.95
2015-01-04 11:00:00,411,0,0,3207,2303,371,0,0,0,119,1519,4023,0,7083,84,60,4937,161,0,8001,30772,59.35
2015-01-04 12:00:00,403,0,0,3279,2307,371,0,0,0,72,1533,3997,0,7085,85,57,5302,165,0,7520,30685,57.03
2015-01-04 13:00:00,407,0,0,3295,2353,362,0,0,0,69,1591,3760,0,7087,86,58,5590,158,0,7274,30429,59.22
2015-01-04 14:00:00,393,0,0,3141,2324,369,0,0,0,69,1529,3077,0,7085,85,60,5668,150,0,6878,28741,58.56
2015-01-04 15:00:00,400,0,0,3118,2164,365,0,0,0,69,1495,2602,0,7083,85,59,5593,149,0,7517,28249,52.07
2015-01-04 16:00:00,397,0,0,3131,2049,374,0,0,0,112,1459,2553,0,7080,85,57,5316,147,0,7999,28105,52.15
2015-01-04 17:00:00,393,0,0,3303,2104,383,0,0,0,251,1435,2925,0,7079,87,59,4907,152,0,8181,27908,61.12
2015-01-04 18:00:00,402,0,0,3368,2098,381,0,0,0,506,1435,3446,0,7078,84,61,4200,153,0,8260,27577,71.98
2015-01-04 19:00:00,409,0,0,3434,2075,383,0,0,0,789,1458,4365,0,7080,84,59,2911,150,0,8156,27418,74.64
2015-01-04 20:00:00,438,0,0,3604,2162,385,0,0,0,416,1538,5936,0,7082,85,59,1392,170,0,8347,28604,75.38
2015-01-04 21:00:00,436,0,0,3874,2445,389,0,0,0,0,1616,5856,0,7084,85,57,748,177,0,8875,30346,76.49
2015-01-04 22:00:00,424,0,0,3447,2169,394,0,0,0,0,1594,4684,0,7085,85,59,696,174,0,8922,28190,73.83
2015-01-04 23:00:00,403,0,0,3390,1770,391,0,0,0,79,1467,3776,0,7088,84,59,672,166,0,8735,26270,69.51
2015-01-05 00:00:00,373,326,0,5338,4247,352,0,0,0,650,1182,2086,0,4036,41,72,691,158,0,7351,25069,70.77
2015-01-05 01:00:00,363,104,0,5352,3112,310,0,0,0,938,1099,2458,0,4029,41,74,668,153,0,7403,23390,64.89
2015-01-05 02:00:00,359,0,0,4791,2580,311,0,0,0,1021,1076,2140,0,4028,38,75,662,156,0,7887,21988,60.91
2015-01-05 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21182,59.68
2015-01-05 04:00:00,334,0,0,4390,2573,308,0,0,0,2067,982,2531,0,4030,38,71,570,155,0,8348,20778,58.04
2015-01-05 05:00:00,338,0,0,4108,2551,300,0,0,0,2228,969,2439,0,4031,38,72,428,153,0,8526,20309,59.57
2015-01-05 06:00:00,341,0,0,4396,2351,291,0,0,0,2365,967,2583,0,4031,38,73,243,152,0,8518,20252,69.73
2015-01-05 07:00:00,343,0,0,4227,2202,301,0,0,0,2321,1087,2740,0,4031,39,74,155,143,0,8263,19964,72.97
2015-01-05 08:00:00,345,0,0,4017,2138,317,0,0,0,2071,1110,2480,0,4030,38,74,500,143,0,8326,20796,77.92
2015-01-05 09:00:00,369,0,0,4243,2239,331,0,0,0,1465,1168,2575,0,4028,38,76,1333,140,0,8046,22478,79.59
2015-01-05 10:00:00,374,0,0,3993,2545,337,0,0,0,1216,1207,2286,0,4011,37,74,2482,140,0,8439,23834,81.75
2015-01-05 11:00:00,376,0,0,3900,2422,333,0,0,0,1166,1206,2209,0,3829,37,74,3339,155,0,9131,24429,80.82
2015-01-05 12:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.14
2015-01-05 13:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.95
2015-01-05 14:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.93
2015-01-05 15:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.5
2015-01-05 16:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.85
2015-01-05 17:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.53
2015-01-05 18:00:00,370,0,0,4003,2217,336,0,0,0,1242,1219,2156,0,3712,42,71,2944,148,0,7431,21888,89.08
2015-01-05 19:00:00,375,0,0,4181,2541,333,0,0,0,651,1260,1843,0,3743,42,75,1971,147,0,6570,22048,90.97
2015-01-05 20:00:00,371,0,0,4607,2509,334,0,0,0,108,1308,2291,0,3773,43,73,958,153,0,5549,22858,88.51
2015-01-05 21:00:00,370,0,0,5329,2804,326,0,0,0,0,1328,3732,0,3803,42,74,605,161,0,4979,25604,82.85
2015-01-05 22:00:00,362,0,0,5682,2891,334,0,0,0,45,1328,3613,0,3834,43,75,518,161,0,4822,25381,80.52
2015-01-05 23:00:00,370,0,0,5699,2958,328,0,0,0,193,1318,3044,0,3868,45,72,394,158,0,4982,23822,72.18
2015-01-06 00:00:00,535,851,0,4359,5130,257,0,0,0,99,767,1218,0,4826,85,66,626,212,0,4052,23711,71.48
2015-01-06 01:00:00,532,742,0,4502,4990,258,0,0,0,693,737,1620,0,4828,85,63,624,208,0,3832,22354,64.76
2015-01-06 02:00:00,530,829,0,4393,5207,266,0,0,0,1000,728,1862,0,4830,86,63,616,204,0,3398,21546,60.22
2015-01-06 03:00:00,532,784,0,4386,5418,262,0,0,0,1053,727,1834,0,4846,85,65,582,206,0,3003,21171,57.14
2015-01-06 04:00:00,541,802,0,4453,5497,266,0,0,0,1052,727,1758,0,4895,85,66,576,206,0,2569,21042,53.94
2015-01-06 05:00:00,545,856,0,4589,5753,263,0,0,0,1016,720,1793,0,4903,85,64,499,204,0,2380,21618,53.43
2015-01-06 06:00:00,540,904,0,4818,6154,257,0,0,0,323,720,1435,0,4911,85,63,415,202,0,2196,23433,56.68
2015-01-06 07:00:00,546,937,0,4862,6527,283,0,0,0,17,779,2369,0,4924,85,63,412,184,0,1701,25885,63.49
2015-01-06 08:00:00,546,959,0,5143,6774,343,0,0,0,0,842,3860,0,4930,86,63,1168,196,0,1102,28456,66.75
2015-01-06 09:00:00,544,980,0,4842,6973,368,0,0,0,0,852,4119,0,4942,83,64,3018,262,0,682,29708,73.07
2015-01-06 10:00:00,543,978,0,4604,7101,361,0,0,0,0,895,4449,0,4952,87,64,4129,268,0,470,30887,78.95
2015-01-06 11:00:00,539,977,0,4475,7198,351,0,0,0,0,899,4584,0,4950,87,63,4642,260,0,472,31409,75.91
2015-01-06 12:00:00,547,974,0,4376,7215,349,0,0,0,0,898,4579,0,4956,84,62,4976,259,0,683,31947,73.12
2015-01-06 13:00:00,538,969,0,4512,7210,356,0,0,0,0,901,4335,0,4959,86,61,5044,260,0,1041,32078,68.02
2015-01-06 14:00:00,534,962,0,4178,7159,365,0,0,0,0,857,4167,0,4953,85,68,4887,258,0,1652,31193,66.67
2015-01-06 15:00:00,537,965,0,4035,7067,366,0,0,0,0,813,3084,0,4956,86,69,4641,254,0,2761,30542,65.08
2015-01-06 16:00:00,537,887,0,3821,6830,364,0,0,0,95,825,3290,0,4955,88,66,4279,251,0,3277,30591,66.1
2015-01-06 17:00:00,532,947,0,4059,6873,362,0,0,0,5,823,3454,0,4799,88,69,3824,252,0,3281,30799,72.0
2015-01-06 18:00:00,533,976,0,4472,7100,356,0,0,0,0,820,3349,0,4186,88,69,3132,267,0,3781,30481,78.6
2015-01-06 19:00:00,528,967,0,4553,7172,351,0,0,0,0,806,3119,0,4368,87,69,2383,254,0,3943,30147,81.18
2015-01-06 20:00:00,536,968,0,4490,7194,365,0,0,0,0,836,3009,0,4657,87,71,1586,229,0,4028,30120,81.65
2015-01-06 21:00:00,535,980,0,4664,7264,364,0,0,0,0,937,3921,0,4878,87,70,891,230,0,3661,30747,78.63
2015-01-06 22:00:00,531,970,0,4684,7279,360,0,0,0,0,884,3834,0,4961,87,72,696,231,0,3485,29978,73.2
2015-01-06 23:00:00,528,922,0,4728,7227,352,0,0,0,0,863,2778,0,4959,86,72,669,232,0,3276,27421,72.46
2015-01-07 00:00:00,499,885,0,4659,7996,371,0,0,0,0,728,1982,0,6000,89,55,1280,219,0,6210,30518,67.24
2015-01-07 01:00:00,502,909,0,4199,7838,370,0,0,0,137,704,1483,0,5995,87,55,1253,213,0,5993,28484,64.17
2015-01-07 02:00:00,491,905,0,4448,8048,368,0,0,0,482,704,1003,0,5997,87,55,1231,217,0,5529,27026,62.12
2015-01-07 03:00:00,495,875,0,4157,7837,360,0,0,0,747,692,626,0,5998,87,56,1223,220,0,5127,26248,62.11
2015-01-07 04:00:00,503,912,0,4001,7827,360,0,0,0,845,689,563,0,6003,87,55,1189,219,0,4940,25838,60.05
2015-01-07 05:00:00,505,918,0,4219,7910,360,0,0,0,700,687,610,0,6005,88,57,1142,220,0,4735,26021,62.48
2015-01-07 06:00:00,506,930,0,4338,7856,364,0,0,0,209,706,1363,0,6003,87,54,1043,220,0,4266,26992,70.01
2015-01-07 07:00:00,505,938,0,4954,7855,374,0,0,0,0,761,2280,0,6000,87,55,979,217,0,3849,28625,75.2
2015-01-07 08:00:00,510,960,0,5447,7982,378,0,0,0,0,780,3192,0,5997,87,55,1336,219,0,3369,31015,83.3
2015-01-07 09:00:00,501,960,0,5881,7991,381,0,0,0,0,788,4420,0,5996,84,54,2121,220,0,2959,33276,93.14
2015-01-07 10:00:00,494,955,0,6076,7979,364,0,0,0,0,753,3674,0,5989,88,51,2841,220,0,3226,34221,100.45
2015-01-07 11:00:00,498,937,0,5726,7982,367,0,0,0,0,754,3289,0,5974,88,51,3556,219,0,4273,34796,95.17
2015-01-07 12:00:00,491,958,0,5583,8005,362,0,0,0,0,762,3131,0,5971,89,52,3756,214,0,5914,35535,85.23
2015-01-07 13:00:00,495,936,0,5637,7975,367,0,0,0,0,751,2709,0,5969,88,50,3639,215,0,7320,35752,81.5
2015-01-07 14:00:00,501,940,0,5684,7839,369,0,0,0,0,733,1912,0,5964,87,53,4133,215,0,7837,35605,77.29
2015-01-07 15:00:00,498,925,0,6098,7782,367,0,0,0,0,721,1479,0,5961,86,51,4896,214,0,7890,36020,76.61
2015-01-07 16:00:00,491,957,0,6242,7807,367,0,0,0,0,713,1191,0,5956,86,52,4647,217,0,7996,36066,77.15
2015-01-07 17:00:00,495,954,0,6056,7866,368,0,0,0,0,709,1458,0,5969,84,52,4184,217,0,7955,36195,79.51
2015-01-07 18:00:00,497,879,0,5839,8058,364,0,0,0,0,707,1965,0,5978,84,52,3631,215,0,7582,35739,91.05
2015-01-07 19:00:00,483,914,0,6477,8129,371,0,0,0,0,711,2384,0,5986,85,51,2772,215,0,6821,35188,95.29
2015-01-07 20:00:00,482,968,0,6316,8163,354,0,0,0,0,736,2566,0,5981,86,52,2013,222,0,6198,34470,91.25
2015-01-07 21:00:00,481,902,0,5881,8002,386,0,0,0,0,735,2622,0,5985,86,53,1193,226,0,6139,33716,87.08
2015-01-07 22:00:00,481,915,0,5785,7853,384,0,0,0,6,721,2412,0,5984,87,52,636,220,0,6398,32697,78.15
2015-01-07 23:00:00,479,841,0,5519,7601,381,0,0,0,137,677,1414,0,5987,87,52,573,215,0,6262,30477,75.07
2015-01-08 00:00:00,546,571,0,4178,7280,383,0,0,0,398,658,831,0,6741,84,67,433,260,0,5908,26788,73.73
2015-01-08 01:00:00,516,566,0,3912,6774,370,0,0,0,392,628,942,0,6741,85,67,391,257,0,5509,25146,70.99
2015-01-08 02:00:00,508,455,0,3718,6349,372,0,0,0,956,631,882,0,6742,85,67,352,256,0,5204,23889,68.3
2015-01-08 03:00:00,509,369,0,3768,6078,373,0,0,0,1088,634,934,0,6743,86,65,328,251,0,4891,23046,64.22
2015-01-08 04:00:00,518,367,0,3707,5984,373,0,0,0,1027,636,799,0,6744,86,67,327,251,0,4738,22587,63.53
2015-01-08 05:00:00,528,351,0,3706,5817,361,0,0,0,1348,631,781,0,6748,86,66,320,249,0,4868,22361,66.7
2015-01-08 06:00:00,533,367,0,3946,5785,354,0,0,0,1804,631,943,0,6750,86,67,265,246,0,4809,22551,69.79
2015-01-08 07:00:00,525,360,0,3890,5570,347,0,0,0,1638,629,888,0,6748,86,66,223,246,0,4849,22543,75.57
2015-01-08 08:00:00,529,457,0,4066,6289,332,0,0,0,508,641,1147,0,6747,86,69,708,216,0,4285,24042,82.36
2015-01-08 09:00:00,534,576,0,4535,6720,305,0,0,0,198,652,965,0,6749,85,66,2225,214,0,3889,25932,87.03
2015-01-08 10:00:00,533,622,0,4441,7301,315,0,0,0,104,664,1153,0,6749,84,67,3943,226,0,3330,27664,91.08
2015-01-08 11:00:00,531,629,0,4513,7468,315,0,0,0,0,689,1333,0,6744,85,66,4514,232,0,2911,28448,89.29
2015-01-08 12:00:00,522,631,0,4654,7503,311,0,0,0,6,717,1795,0,6741,84,68,4926,254,0,2376,28881,85.45
2015-01-08 13:00:00,509,635,0,4760,7551,311,0,0,0,27,715,2275,0,6739,83,69,5067,237,0,1917,29329,80.33
2015-01-08 14:00:00,504,637,0,4591,7542,269,0,0,0,32,717,2198,0,6732,84,69,5092,234,0,1741,29026,77.33
2015-01-08 15:00:00,506,636,0,4964,7517,263,0,0,0,10,694,1776,0,6730,84,66,5019,232,0,1680,28237,77.03
2015-01-08 16:00:00,500,636,0,5046,7462,259,0,0,0,0,667,1445,0,6729,83,67,4803,225,0,1774,27868,78.15
2015-01-08 17:00:00,502,628,0,4899,7437,258,0,0,0,0,654,1478,0,6728,83,67,4507,223,0,2001,27654,80.48
2015-01-08 18:00:00,514,582,0,4677,7345,258,0,0,0,0,640,1236,0,6717,83,69,4010,228,0,2574,27507,90.87
2015-01-08 19:00:00,513,625,0,4606,7419,270,0,0,0,0,645,1435,0,6727,82,69,3321,227,0,3022,27544,94.11
2015-01-08 20:00:00,511,571,0,4805,7224,295,0,0,0,84,683,2430,0,6736,82,68,2089,224,0,3312,27578,90.26
2015-01-08 21:00:00,516,599,0,4932,7191,301,0,0,0,81,722,3302,0,6748,82,67,957,223,0,3478,28222,84.66
2015-01-08 22:00:00,519,625,0,5136,7012,301,0,0,0,4,706,3461,0,6762,83,70,721,219,0,3726,28221,77.05
2015-01-08 23:00:00,515,620,0,5209,6549,302,0,0,0,0,669,2426,0,6760,83,67,691,231,0,3968,26436,73.14
2015-01-09 00:00:00,489,920,0,5410,7695,314,0,0,0,0,574,1930,0,6846,86,66,39,273,0,3552,27485,67.7
2015-01-09 01:00:00,483,928,0,4445,7691,301,0,0,0,62,553,1819,0,6852,86,68,38,231,0,3334,25750,61.05
2015-01-09 02:00:00,485,833,0,4287,7435,297,0,0,0,167,544,1347,0,6854,85,67,37,227,0,3486,24760,59.61
2015-01-09 03:00:00,477,935,0,4223,7544,296,0,0,0,557,548,943,0,6855,86,67,37,224,0,3492,24188,58.65
2015-01-09 04:00:00,480,937,0,4178,7375,298,0,0,0,734,548,655,0,6858,86,66,36,227,0,3541,23840,58.4
2015-01-09 05:00:00,482,935,0,4283,7442,288,0,0,0,753,558,682,0,6862,86,66,41,226,0,3603,24030,59.77
2015-01-09 06:00:00,477,894,0,4444,7465,299,0,0,0,468,559,1561,0,6861,86,66,45,234,0,3952,25965,68.38
2015-01-09 07:00:00,477,920,0,5068,7674,299,0,0,0,297,555,1801,0,6864,85,67,58,239,0,4209,28266,75.5
2015-01-09 08:00:00,495,910,0,5684,7654,333,0,0,0,43,589,1932,0,6866,85,67,317,244,0,4171,29981,81.67
2015-01-09 09:00:00,493,956,0,6295,7801,348,0,0,0,0,645,2736,0,6866,84,67,1107,245,0,3873,31932,85.8
2015-01-09 10:00:00,490,955,0,6674,7866,352,0,0,0,0,672,3238,0,6863,84,68,2133,248,0,3865,33325,92.0
2015-01-09 11:00:00,490,892,0,6918,7645,353,0,0,0,0,656,2941,0,6860,83,69,3193,250,0,3802,34144,89.66
2015-01-09 12:00:00,487,889,0,6848,7610,360,0,0,0,0,658,2898,0,6855,83,66,3932,250,0,3676,35040,85.5
